trade_id,trade_date,asset_id,trade_type,quantity,trade_price
T001,2026-01-12,A001,BUY,100,695.1599731445312
T002,2026-03-09,A001,BUY,50,678.27001953125
T003,2026-05-11,A001,BUY,30,739.2999877929688
T004,2026-07-13,A001,SELL,40,749.1699829101562
T005,2026-01-20,A002,BUY,150,95.5500030517578
T006,2026-03-16,A002,BUY,70,96.0199966430664
T007,2026-05-18,A002,BUY,50,93.47000122070312
T008,2026-07-20,A002,SELL,60,93.54000091552734
T009,2026-01-26,A003,BUY,120,110.93000030517578
T010,2026-03-23,A003,BUY,60,108.55999755859376
T011,2026-05-26,A003,BUY,40,108.77999877929688
T012,2026-07-27,A003,SELL,50,106.51000213623048
T013,2026-02-02,A004,BUY,60,427.1300048828125
T014,2026-04-06,A004,BUY,30,427.6499938964844
T015,2026-06-08,A004,BUY,20,397.2699890136719
T016,2026-08-03,A004,SELL,25,371.7099914550781
T017,2026-02-09,A005,BUY,100,92.63999938964844
T018,2026-04-13,A005,BUY,50,93.33000183105467
T019,2026-06-15,A005,BUY,30,97.81999969482422
T020,2026-08-10,A005,SELL,40,97.11000061035156
T021,2026-02-16,A006,BUY,100,61.33000183105469
T022,2026-04-20,A006,BUY,50,61.81999969482422
T023,2026-06-22,A006,BUY,30,63.630001068115234
T024,2026-08-17,A006,SELL,40,65.62999725341797
T025,2026-02-24,A007,BUY,40,59540.0
T026,2026-04-27,A007,BUY,20,63400.0
T027,2026-06-29,A007,BUY,15,72800.0
T028,2026-08-24,A007,SELL,15,67820.0
